
########## RESULTS ##########

Round number: 232800              Ave money: $24.59          Ave winnings: $-4975.41
Round number: 233400              Ave money: $24.48          Ave winnings: $-4975.52
Round number: 234000              Ave money: $24.50          Ave winnings: $-4975.50
Round number: 234600              Ave money: $24.23          Ave winnings: $-4975.77
Round number: 235200              Ave money: $23.79          Ave winnings: $-4976.21
Round number: 235800              Ave money: $24.38          Ave winnings: $-4975.62
Round number: 236400              Ave money: $24.54          Ave winnings: $-4975.46
Round number: 237000              Ave money: $24.45          Ave winnings: $-4975.55
Round number: 237600              Ave money: $23.92          Ave winnings: $-4976.08
Round number: 238200              Ave money: $23.93          Ave winnings: $-4976.07
Round number: 238800              Ave money: $23.66          Ave winnings: $-4976.35
Round number: 239400              Ave money: $23.64          Ave winnings: $-4976.36
Round number: 240000              Ave money: $23.39          Ave winnings: $-4976.61
Round number: 240600              Ave money: $23.65          Ave winnings: $-4976.35
Round number: 241200              Ave money: $23.13          Ave winnings: $-4976.87
Round number: 241800              Ave money: $23.05          Ave winnings: $-4976.95
Round number: 242400              Ave money: $22.88          Ave winnings: $-4977.12
Round number: 243000              Ave money: $22.57          Ave winnings: $-4977.43
Round number: 243600              Ave money: $22.36          Ave winnings: $-4977.64
Round number: 244200              Ave money: $21.85          Ave winnings: $-4978.15
Round number: 244800              Ave money: $21.38          Ave winnings: $-4978.62
Round number: 245400              Ave money: $20.84          Ave winnings: $-4979.16
Round number: 246000              Ave money: $21.07          Ave winnings: $-4978.93
Round number: 246600              Ave money: $20.73          Ave winnings: $-4979.27
Round number: 247200              Ave money: $20.32          Ave winnings: $-4979.68
Round number: 247800              Ave money: $20.07          Ave winnings: $-4979.93
Round number: 248400              Ave money: $19.66          Ave winnings: $-4980.34
Round number: 249000              Ave money: $19.29          Ave winnings: $-4980.71
Round number: 249600              Ave money: $18.91          Ave winnings: $-4981.09
Round number: 250200              Ave money: $18.89          Ave winnings: $-4981.11
Round number: 250800              Ave money: $18.62          Ave winnings: $-4981.38
Round number: 251400              Ave money: $18.40          Ave winnings: $-4981.60
Round number: 252000              Ave money: $17.94          Ave winnings: $-4982.06
Round number: 252600              Ave money: $18.10          Ave winnings: $-4981.90
Round number: 253200              Ave money: $17.94          Ave winnings: $-4982.06
Round number: 253800              Ave money: $17.88          Ave winnings: $-4982.12
Round number: 254400              Ave money: $18.05          Ave winnings: $-4981.95
Round number: 255000              Ave money: $17.93          Ave winnings: $-4982.07
Round number: 255600              Ave money: $17.91          Ave winnings: $-4982.09
Round number: 256200              Ave money: $17.70          Ave winnings: $-4982.30
Round number: 256800              Ave money: $17.15          Ave winnings: $-4982.85
Round number: 257400              Ave money: $17.31          Ave winnings: $-4982.69
Round number: 258000              Ave money: $17.01          Ave winnings: $-4982.99
