
########## RESULTS ##########

Round number: 96600               Ave money: $306.14          Ave winnings: $-4693.86
Round number: 96900               Ave money: $303.93          Ave winnings: $-4696.07
Round number: 97200               Ave money: $302.14          Ave winnings: $-4697.86
Round number: 97500               Ave money: $301.32          Ave winnings: $-4698.68
Round number: 97800               Ave money: $298.32          Ave winnings: $-4701.68
Round number: 98100               Ave money: $295.79          Ave winnings: $-4704.21
Round number: 98400               Ave money: $293.09          Ave winnings: $-4706.91
Round number: 98700               Ave money: $289.35          Ave winnings: $-4710.65
Round number: 99000               Ave money: $286.52          Ave winnings: $-4713.48
Round number: 99300               Ave money: $281.85          Ave winnings: $-4718.15
Round number: 99600               Ave money: $279.40          Ave winnings: $-4720.60
Round number: 99900               Ave money: $275.76          Ave winnings: $-4724.24
Round number: 100200              Ave money: $272.30          Ave winnings: $-4727.70
Round number: 100500              Ave money: $270.00          Ave winnings: $-4729.99
Round number: 100800              Ave money: $268.38          Ave winnings: $-4731.62
Round number: 101100              Ave money: $265.77          Ave winnings: $-4734.23
Round number: 101400              Ave money: $264.33          Ave winnings: $-4735.67
Round number: 101700              Ave money: $262.99          Ave winnings: $-4737.01
Round number: 102000              Ave money: $260.81          Ave winnings: $-4739.19
Round number: 102300              Ave money: $259.29          Ave winnings: $-4740.71
Round number: 102600              Ave money: $256.77          Ave winnings: $-4743.23
Round number: 102900              Ave money: $254.03          Ave winnings: $-4745.97
Round number: 103200              Ave money: $252.93          Ave winnings: $-4747.07
Round number: 103500              Ave money: $251.38          Ave winnings: $-4748.62
Round number: 103800              Ave money: $248.59          Ave winnings: $-4751.41
Round number: 104100              Ave money: $248.07          Ave winnings: $-4751.93
Round number: 104400              Ave money: $246.21          Ave winnings: $-4753.80
Round number: 104700              Ave money: $246.05          Ave winnings: $-4753.95
Round number: 105000              Ave money: $243.12          Ave winnings: $-4756.88
Round number: 105300              Ave money: $241.00          Ave winnings: $-4759.00
Round number: 105600              Ave money: $239.09          Ave winnings: $-4760.91
Round number: 105900              Ave money: $236.72          Ave winnings: $-4763.28
Round number: 106200              Ave money: $235.17          Ave winnings: $-4764.83
Round number: 106500              Ave money: $233.36          Ave winnings: $-4766.64
Round number: 106800              Ave money: $231.53          Ave winnings: $-4768.47
Round number: 107100              Ave money: $229.60          Ave winnings: $-4770.40
Round number: 107400              Ave money: $227.80          Ave winnings: $-4772.20
Round number: 107700              Ave money: $226.10          Ave winnings: $-4773.90
Round number: 108000              Ave money: $224.75          Ave winnings: $-4775.25
Round number: 108300              Ave money: $222.85          Ave winnings: $-4777.15
Round number: 108600              Ave money: $220.73          Ave winnings: $-4779.27
Round number: 108900              Ave money: $218.92          Ave winnings: $-4781.08
Round number: 109200              Ave money: $218.44          Ave winnings: $-4781.56
Round number: 109500              Ave money: $218.10          Ave winnings: $-4781.90
Round number: 109800              Ave money: $217.12          Ave winnings: $-4782.88
Round number: 110100              Ave money: $216.07          Ave winnings: $-4783.93
Round number: 110400              Ave money: $216.31          Ave winnings: $-4783.69
Round number: 110700              Ave money: $215.26          Ave winnings: $-4784.73
Round number: 111000              Ave money: $213.80          Ave winnings: $-4786.20
Round number: 111300              Ave money: $211.76          Ave winnings: $-4788.24
Round number: 111600              Ave money: $209.09          Ave winnings: $-4790.91
Round number: 111900              Ave money: $207.23          Ave winnings: $-4792.77
