
########## RESULTS ##########

Round number: 844                 Ave money: $418.77          Ave winnings: $-81.23
Round number: 846                 Ave money: $418.99          Ave winnings: $-81.01
Round number: 848                 Ave money: $418.68          Ave winnings: $-81.32
Round number: 850                 Ave money: $418.27          Ave winnings: $-81.73
Round number: 852                 Ave money: $417.86          Ave winnings: $-82.14
Round number: 854                 Ave money: $417.58          Ave winnings: $-82.42
Round number: 856                 Ave money: $417.44          Ave winnings: $-82.56
Round number: 858                 Ave money: $417.35          Ave winnings: $-82.65
Round number: 860                 Ave money: $417.14          Ave winnings: $-82.86
Round number: 862                 Ave money: $417.15          Ave winnings: $-82.85
Round number: 864                 Ave money: $417.08          Ave winnings: $-82.92
Round number: 866                 Ave money: $416.93          Ave winnings: $-83.07
Round number: 868                 Ave money: $416.84          Ave winnings: $-83.16
Round number: 870                 Ave money: $417.33          Ave winnings: $-82.67
Round number: 872                 Ave money: $417.41          Ave winnings: $-82.59
Round number: 874                 Ave money: $417.08          Ave winnings: $-82.92
Round number: 876                 Ave money: $417.08          Ave winnings: $-82.92
Round number: 878                 Ave money: $417.10          Ave winnings: $-82.90
Round number: 880                 Ave money: $417.44          Ave winnings: $-82.56
Round number: 882                 Ave money: $417.05          Ave winnings: $-82.95
Round number: 884                 Ave money: $416.85          Ave winnings: $-83.15
Round number: 886                 Ave money: $416.88          Ave winnings: $-83.12
Round number: 888                 Ave money: $416.90          Ave winnings: $-83.10
Round number: 890                 Ave money: $416.57          Ave winnings: $-83.43
Round number: 892                 Ave money: $416.18          Ave winnings: $-83.82
Round number: 894                 Ave money: $416.47          Ave winnings: $-83.53
Round number: 896                 Ave money: $415.90          Ave winnings: $-84.10
